0050|Ausstehende Einlagen auf das Komplementär-Kapital, nicht eingefordert (Vollhafter)
0060|Ausstehende Einlagen auf das Komplementär-Kapital, eingefordert (Vollhafter)
0070|Ausstehende Einlagen auf das Kommandit-Kapital, nicht eingefordert (Teilhafter)
0080|Ausstehende Einlagen auf das Kommandit-Kapital, eingefordert (Teilhafter)
0090|Rückständige fällige Einzahlungen auf Geschäftsanteile
0100|Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten
0110|Konzessionen
0120|Gewerbliche Schutzrechte
0130|Ähnliche Rechte und Werte
0135|EDV-Software
0140|Lizenzen an gewerblichen Schutzrechten und ähnlichen Rechten und Werten
0143|Selbst geschaffene immaterielle Vermögensgegenstände
0144|EDV-Software
0145|Lizenzen und Franchiseverträge
0146|Konzessionen und gewerbliche Schutzrechte
0147|Rezepte, Verfahren, Prototypen
0148|Immaterielle Vermögensgegenstände in Entwicklung
0150|Geschäfts- oder Firmenwert
0170|Geleistete Anzahlungen auf immaterielle Vermögensgegenstände
0179|Anzahlungen auf Geschäfts- oder Firmenwert
0200|Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken
0210|Grundstücksgleiche Rechte ohne Bauten
0215|Unbebaute Grundstücke
0220|Grundstücksgleiche Rechte (Erbbaurecht, Dauerwohnrecht, unbebaute Grundstücke)
0225|Grundstücke mit Substanzverzehr
0229|Grundstücksanteil des häuslichen Arbeitszimmers
0230|Bauten auf eigenen Grundstücken und grundstücksgleichen Rechten
0235|Grundstückswerte eigener bebauter Grundstücke
0240|Geschäftsbauten
0250|Fabrikbauten
0260|Andere Bauten
0270|Garagen
0280|Außenanlagen für Geschäfts-, Fabrik- und andere Bauten
0285|Hof- und Wegebefestigungen
0290|Einrichtungen für Geschäfts-, Fabrik- und andere Bauten
0300|Wohnbauten
0305|Garagen
0310|Außenanlagen
0315|Hof- und Wegebefestigungen
0320|Einrichtungen für Wohnbauten
0329|Gebäudeteil des häuslichen Arbeitszimmers
0330|Bauten auf fremden Grundstücken
0340|Geschäftsbauten
0350|Fabrikbauten
0360|Wohnbauten
0370|Andere Bauten
0380|Garagen
0390|Außenanlagen
0395|Hof- und Wegebefestigungen
0398|Einrichtungen für Geschäfts-, Fabrik-, Wohn- und andere Bauten
0400|Technische Anlagen und Maschinen
0420|Technische Anlagen
0440|Maschinen
0450|Transportanlagen und Ähnliches
0460|Maschinengebundene Werkzeuge
0470|Betriebsvorrichtungen
0500|Andere Anlagen, Betriebs- und Geschäftsausstattung
0510|Andere Anlagen
0520|Pkw
0540|Lkw
0560|Sonstige Transportmittel
0620|Werkzeuge
0630|Betriebsausstattung
0635|Geschäftsausstattung
0640|Ladeneinrichtung
0650|Büroeinrichtung
0660|Gerüst- und Schalungsmaterial
0670|Geringwertige Wirtschaftsgüter
0675|Wirtschaftsgüter (Sammelposten)
0680|Einbauten in fremde Grundstücke
0690|Sonstige Betriebs- und Geschäftsausstattung
0700|Geleistete Anzahlungen und Anlagen im Bau
0705|Anzahlungen auf Grund und Boden
0710|Geschäfts-, Fabrik- und andere Bauten im Bau auf eigenen Grundstücken
0720|Anzahlungen auf Geschäfts-, Fabrik- und andere Bauten auf eigenen Grundstücken
0725|Wohnbauten im Bau auf eigenen Grundstücken
0735|Anzahlungen auf Wohnbauten auf eigenen Grundstücken
0740|Geschäfts-, Fabrik- und andere Bauten im Bau auf fremden Grundstücken
0750|Anzahlungen auf Geschäfts-, Fabrik- und andere Bauten auf fremden Grundstücken
0755|Wohnbauten im Bau auf fremden Grundstücken
0765|Anzahlungen auf Wohnbauten auf fremden Grundstücken
0770|Technische Anlagen und Maschinen im Bau
0780|Anzahlungen auf technische Anlagen und Maschinen
0785|Andere Anlagen, Betriebs- und Geschäftsausstattung im Bau
0795|Anzahlungen auf andere Anlagen, Betriebs- und Geschäftsausstattung Finanzanlagen
0800|Anteile an verbundenen Unternehmen (Anlagevermögen)
0803|Anteile an verbundenen Unternehmen, Personengesellschaften
0804|Anteile an verbundenen Unternehmen, Kapitalgesellschaften
0805|Anteile an herrschender oder mehrheitlich beteiligter Gesellschaft, Personengesellschaften
0806|Anteile einer GmbH & Co. KG an einer Komplementär-GmbH
