0005|Rückständige fällige Einzahlungen auf Geschäftsanteile
0010|Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten
0015|Konzessionen
0020|Gewerbliche Schutzrechte
0025|Ähnliche Rechte und Werte
0027|EDV-Software
0030|Lizenzen an gewerblichen Schutzrechten und ähnlichen Rechten und Werten
0035|Geschäfts- oder Firmenwert
0038|Anzahlungen auf Geschäfts- oder Firmenwert
0039|Geleistete Anzahlungen auf immaterielle Vermögensgegenstände
0043|Selbst geschaffene immaterielle Vermögensgegenstände
0044|EDV-Software
0045|Lizenzen und Franchiseverträge
0046|Konzessionen und gewerbliche Schutzrechte
0047|Rezepte, Verfahren, Prototypen
0048|Immaterielle Vermögensgegenstände in Entwicklung
0050|Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken
0059|Grundstücksanteil des häuslichen Arbeitszimmers
0060|Grundstücksgleiche Rechte ohne Bauten
0065|Unbebaute Grundstücke
0070|Grundstücksgleiche Rechte (Erbbaurecht, Dauerwohnrecht, unbebaute Grundstücke)
0075|Grundstücke mit Substanzverzehr
0079|Anzahlungen auf Grund und Boden
0080|Bauten auf eigenen Grundstücken und grundstücksgleichen Rechten
0085|Grundstückswerte eigener bebauter Grundstücke
0090|Geschäftsbauten
0100|Fabrikbauten
0110|Garagen
0111|Außenanlagen für Geschäfts-, Fabrik- und andere Bauten
0112|Hof- und Wegebefestigungen
0113|Einrichtungen für Geschäfts-, Fabrik- und andere Bauten
0115|Andere Bauten
0120|Geschäfts-, Fabrik- und andere Bauten im Bau auf eigenen Grundstücken
0129|Anzahlungen auf Geschäfts-, Fabrik- und andere Bauten auf eigenen Grundstücken
0140|Wohnbauten
0145|Garagen
0146|Außenanlagen
0147|Hof- und Wegebefestigungen
0148|Einrichtungen für Wohnbauten
0149|Gebäudeteil des häuslichen Arbeitszimmers
0150|Wohnbauten im Bau auf eigenen Grundstücken
0159|Anzahlungen auf Wohnbauten auf eigenen Grundstücken
0160|Bauten auf fremden Grundstücken
0165|Geschäftsbauten
0170|Fabrikbauten
0175|Garagen
0176|Außenanlagen
0177|Hof- und Wegebefestigungen
0178|Einrichtungen für Geschäfts-, Fabrik-, Wohn- und andere Bauten
0179|Andere Bauten
0180|Geschäfts-, Fabrik- und andere Bauten im Bau auf fremden Grundstücken
0189|Anzahlungen auf Geschäfts-, Fabrik- und andere Bauten auf fremden Grundstücken
0190|Wohnbauten
0191|Garagen
0192|Außenanlagen
0193|Hof- und Wegebefestigungen
0194|Einrichtungen für Wohnbauten
0195|Wohnbauten im Bau auf fremden Grundstücken
0199|Anzahlungen auf Wohnbauten auf fremden Grundstücken
0200|Technische Anlagen und Maschinen
0210|Maschinen
0220|Maschinengebundene Werkzeuge
0240|Technische Anlagen
0260|Transportanlagen und Ähnliches
0280|Betriebsvorrichtungen
0290|Technische Anlagen und Maschinen im Bau
0299|Anzahlungen auf technische Anlagen und Maschinen
0300|Andere Anlagen, Betriebs- und Geschäftsausstattung
0310|Andere Anlagen
0320|Pkw
0350|Lkw
0380|Sonstige Transportmittel
0400|Betriebsausstattung
0410|Geschäftsausstattung
0420|Büroeinrichtung
0430|Ladeneinrichtung
0440|Werkzeuge
0450|Einbauten in fremde Grundstücke
0460|Gerüst- und Schalungsmaterial
0480|Geringwertige Wirtschaftsgüter
0485|Wirtschaftsgüter (Sammelposten)
